Data from robot gripper sensors											
Nov-14											
"Data generation: Physical testing and data logging"												
"Hardware: human, Robotiq hand"												
Grasp #	left finger	right finger	middle finger	palm	maxofleft	maxofright	maxofmiddle	maxofpalm
375	293.5	212.75	187.5	153.1333332	404	442	342	460
376	311.25	246.25	225	113.5333332	458	432	379	484
377	192	88.75	211	149	362	185	394	487
378	294.75	186.75	220	126	484	421	410	491
379	390.25	76.75	24.5	30.7333332	422	276	54	408
380	419.75	27	3.25	1.6666668	456	48	4	9
381	419.75	27	3.25	1.6666668	456	48	4	9
382	212.25	54.5	244.75	176.2	446	164	417	476
383	180	34.25	7.5	116.3333332	348	90	21	451
384	34	37.25	210.5	183	132	98	413	461
385	16.75	63.5	200.5	189.6666668	47	158	379	467
386	2.25	5	6	7.8	5	14	20	33
387	169.75	42.25	207.75	191.2	338	80	391	465
388	183.5	42.75	216.5	185.8	369	110	387	487
389	85.25	41.5	219.75	186.0666668	255	105	394	488
390	386	27.25	13	22.6	478	61	34	156
391	380.25	296.5	12.5	5.4	472	456	26	33
392	382.75	167.75	69.5	2.5333332	481	324	203	11
393	165.75	16.75	301.5	234.6666668	353	34	409	481
394	171.5	11	251.25	239.8666668	373	29	428	448
395	118	8.25	212.5	245.2666668	342	24	389	479
396	165.75	16.75	182	236.1333332	338	45	336	472
397	166.75	15.5	185.75	190.4666668	332	47	342	483
398	146.75	16	167.25	225.1333332	317	58	336	481
399	146.5	17.25	160.25	258.6	299	55	329	487
400	44	17.75	184	249.8	135	58	335	480
401	364.75	31.5	51.25	5.6	472	72	74	28
402	359	8.5	2.25	47.4	478	20	4	331
403	358	4.75	28.75	8.5333332	476	15	54	32
404	0.75	2.75	0.5	0.7333332	1	10	1	2
405	162	48.75	176	165.6	328	113	303	476
406	273.75	20.5	283.75	86.2666668	471	52	362	449
407	145	27.75	163.5	155.4	302	80	316	474
408	130.5	35	212	168.3333332	241	92	407	456
409	200.75	25.25	264.5	130	371	71	355	489
410	200.5	25.75	223.25	150.3333332	365	88	372	428
411	102.5	48.25	210.75	167.1333332	306	152	418	419
412	353.25	47.25	11.75	26.7333332	395	97	17	202
413	362.5	150.75	8.25	39.3333332	429	371	18	418
414	392	117.25	50.25	47.0666668	474	372	125	450
415	255.75	92.5	212.5	106.2	475	192	412	480
416	267.75	36	205.5	100.2666668	421	88	400	386
417	112	65.75	234	140.8	299	144	439	489
418	156.5	28.75	237.5	144.0666668	368	95	455	458
419	155.25	38.25	237.75	146.4666668	330	84	439	456
420	189.5	16	254.25	151.3333332	345	43	355	467
421	164.75	31.75	193.5	151.3333332	362	82	330	454
422	315	79.75	21	37.5333332	383	144	31	417
423	361.75	133.5	12.75	14.6	406	374	44	162
424	404.5	76.5	4.5	41.6	460	171	6	328
425	191.25	55.25	120	121.6	381	120	324	485
426	180.5	77	188.5	107.9333332	383	226	388	477
427	199.25	63.5	224	110.8	379	202	448	472
428	185.25	40	285	203	403	90	435	442
429	163.5	36	251.75	191.6	398	111	341	429
430	148	15	222.25	200.6666668	409	27	346	428
431	199	29.25	283.5	177.9333332	394	80	424	435
432	382.75	13.75	14.25	3.8666668	470	30	30	8
433	407.75	40.5	104.5	7	484	130	361	35
434	422.75	31.5	11.75	5	478	58	27	23
435	233.5	29.75	190.75	120.8666668	429	89	438	485
436	225	32.25	289.75	197.5333332	440	68	380	437
437	214.5	36.5	194	182.6	428	98	368	446
438	210	22	297	214.7333332	439	60	397	457
439	207.75	13.75	274.5	250.5333332	437	20	387	454
440	192.75	27	252.25	244.7333332	424	63	430	458
441	200.25	32.75	263.25	242	439	75	442	463
